global_step,phase,run,epoch,loss,lr
50,pretrain,ep-1,,0.883904,1.0899999999999996e-05
100,pretrain,ep-1,,0.783975,2.079999999999999e-05
150,pretrain,ep-1,,0.650107,3.069999999999999e-05
200,pretrain,ep-1,,0.542966,4.059999999999996e-05
250,pretrain,ep-1,,0.473131,5.049999999999994e-05
300,pretrain,ep-1,,0.426263,6.0399999999999943e-05
350,pretrain,ep-1,,0.392984,7.029999999999989e-05
400,pretrain,ep-1,,0.368124,8.019999999999978e-05
450,pretrain,ep-1,,0.347701,9.009999999999978e-05
500,pretrain,ep-1,,0.331153,0.0001
550,pretrain,ep-1,,0.317571,9.99999668930302e-05
600,pretrain,ep-1,,0.306554,9.999986757216507e-05
650,pretrain,ep-1,,0.296965,9.999970203753739e-05
700,pretrain,ep-1,,0.288451,9.999947028936866e-05
750,pretrain,ep-1,,0.281143,9.999917232796879e-05
800,pretrain,ep-1,,0.274514,9.999880815373642e-05
850,pretrain,ep-1,,0.268769,9.999837776715873e-05
900,pretrain,ep-1,,0.263373,9.999788116881136e-05
950,pretrain,ep-1,,0.258531,9.999731835935866e-05
1000,pretrain,ep-1,,0.254102,9.999668933955338e-05
1050,pretrain,ep-1,,0.250517,9.999599411023697e-05
1100,pretrain,ep-1,,0.246947,9.999523267233933e-05
1150,pretrain,ep-1,,0.243555,9.999440502687919e-05
1200,pretrain,ep-1,,0.240532,9.999351117496351e-05
1250,pretrain,ep-1,,0.237684,9.999255111778794e-05
1300,pretrain,ep-1,,0.235137,9.999152485663679e-05
1350,pretrain,ep-1,,0.232465,9.999043239288282e-05
1400,pretrain,ep-1,,0.230354,9.99892737279873e-05
1450,pretrain,ep-1,,0.228131,9.99880488635003e-05
1500,pretrain,ep-1,,0.226382,9.998675780106013e-05
1550,pretrain,ep-1,,0.224626,9.998540054239371e-05
1600,pretrain,ep-1,,0.222822,9.998397708931681e-05
1650,pretrain,ep-1,,0.220956,9.998248744373328e-05
1700,pretrain,ep-1,,0.21944,9.998093160763586e-05
1750,pretrain,ep-1,,0.217937,9.997930958310579e-05
1800,pretrain,ep-1,,0.216498,9.997762137231272e-05
1850,pretrain,ep-1,,0.215,9.997586697751489e-05
1900,pretrain,ep-1,,0.213711,9.997404640105906e-05
1950,pretrain,ep-1,,0.212454,9.997215964538053e-05
2000,pretrain,ep-1,,0.211381,9.99702067130032e-05
2050,pretrain,ep-1,,0.210322,9.996818760653938e-05
2100,pretrain,ep-1,,0.209164,9.996610232868984e-05
2150,pretrain,ep-1,,0.208319,9.996395088224411e-05
2200,pretrain,ep-1,,0.207321,9.996173327008002e-05
2250,pretrain,ep-1,,0.206424,9.99594494951639e-05
2300,pretrain,ep-1,,0.205593,9.995709956055082e-05
2350,pretrain,ep-1,,0.20457,9.995468346938407e-05
2400,pretrain,ep-1,,0.203696,9.995220122489559e-05
